Unnamed: 0,Clean_Title,Clean_Author,Title,Author,Genre,Type,Rating,No. of People rated,URLs
3958,office management,pillai r.s.n.,Office Management,Pillai R.S.N.,Health Administration Sciences Medicine Policy,Paperback,4.0,21.0,https://www.amazon.in/Office-Management-Pillai-R-S-N/dp/8121922526/ref=zg_bs_g_4149550031_d_sccl_9/000-0000000-0000000?psc=1
4890,seduction and betrayal of sriya,ravi shikha,The seduction and betrayal of Sriya,Ravi Shikha,Romance Action Adventure,Kindle Edition,4.2,21.0,https://www.amazon.in/seduction-betrayal-Sriya-Ravi-Shikha-ebook/dp/B0CQDQDGYF/ref=zg_bs_g_86208349031_d_sccl_11/000-0000000-0000000?psc=1
2233,learning ebpf,liz rice,"Learning eBPF: Programming the Linux Kernel for Enhanced Observability, Networking, and Security (Grayscale Indian Edition)",Liz Rice,Digital Systems Internet Computing Operating Media,Paperback,4.7,21.0,https://www.amazon.in/Learning-eBPF-Programming-Observability-Networking/dp/9355429851/ref=zg_bs_g_1318115031_d_sccl_4/000-0000000-0000000?psc=1
2130,ccsp certified cloud security professional all,carter daniel,"CCSP Certified Cloud Security Professional All-in-One Exam Guide, Third Edition",Daniel Carter,Digital Social Internet Computing Media,Paperback,4.4,21.0,https://www.amazon.in/Certified-Cloud-Security-Professional-Guide/dp/1264842201/ref=zg_bs_g_1318113031_d_sccl_1/000-0000000-0000000?psc=1
5369,her new neighbor,nina sestina,Her New Neighbor: Age Gap Romance (MILF),Nina Sestina,Life Romance in Later,Kindle Edition,4.4,21.0,https://www.amazon.in/Her-New-Neighbor-Romance-MILF-ebook/dp/B0CNMWRK7Z/ref=zg_bs_g_89265414031_d_sccl_23/000-0000000-0000000?psc=1
6168,environmental science,singh y.k.,Environmental Science,Y.K. Singh,Science Environmental Mathematics Studies,Paperback,4.1,21.0,https://www.amazon.in/Environmental-Science-Y-K-Singh/dp/8122418481/ref=zg_bs_g_4149719031_d_sccl_15/000-0000000-0000000?psc=1
6737,speed merchants,lokapally vijay,Speed Merchants: The Story of Indian Pace Bowling 1886 to 2019,Vijay Lokapally,Sports Bowling Petanque Bowls,Paperback,4.0,21.0,https://www.amazon.in/Speed-Merchants-Story-Indian-Bowling/dp/9388271343/ref=zg_bs_g_1318238031_d_sccl_14/000-0000000-0000000?psc=1
4040,handbook for .n.m. (anm) in hindi (combind for 1st & 2nd year),ahmed b. shama,Handbook for A.N.M. (ANM) in Hindi (Combind Edition for 1st & 2nd Year),Shama B. Ahmed,Sciences Health Nursing Medicine,Paperback,3.8,21.0,https://www.amazon.in/Handbook-N-M-Hindi-Combind-Year/dp/9394644008/ref=zg_bs_g_4149670031_d_sccl_11/000-0000000-0000000?psc=1
2263,python programming 2e,reema thareja,PYTHON PROGRAMMING 2E,Reema Thareja,Programming Digital Internet Development Computing Software Media,Paperback,4.1,21.0,https://www.amazon.in/PYTHON-PROGRAMMING-PROBLEM-SOLVING-APPROACH/dp/9354973760/ref=zg_bs_g_1318116031_d_sccl_14/000-0000000-0000000?psc=1
7423,aggressive volleyball,pete waite,Aggressive Volleyball,Pete Waite,Sports Volleyball,Paperback,4.4,21.0,https://www.amazon.in/Aggressive-Volleyball-Pete-Waite/dp/0736074414/ref=zg_bs_g_1318281031_d_sccl_16/000-0000000-0000000?psc=1
